mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_l2_leaf_reg,param_iterations,param_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
38.11001029014587,0.5902427618273175,0.2989842891693115,0.02049712187948752,0.03,3,700,8,"{'learning_rate': 0.03, 'l2_leaf_reg': 3, 'iterations': 700, 'depth': 8}",0.926397077090998,0.9265518284109202,0.9194700980622093,0.9239981755092733,0.9241840493285965,0.9241202456803995,0.002558882597964069,10
19.654340267181396,0.41662867872211634,0.367338228225708,0.13975771870268033,0.1,1,700,4,"{'learning_rate': 0.1, 'l2_leaf_reg': 1, 'iterations': 700, 'depth': 4}",0.9254284224762692,0.9260579507181619,0.9190089691033394,0.923284846063697,0.9235827416238479,0.9234725859970631,0.0024690347665889127,16
34.89087595939636,0.9967449947208337,0.4105051040649414,0.09822836384229727,0.05,1,1000,6,"{'learning_rate': 0.05, 'l2_leaf_reg': 1, 'iterations': 1000, 'depth': 6}",0.9253573765375125,0.9250594491560918,0.9188148045067996,0.9232521929858126,0.9227504389032851,0.9230468524179003,0.002342192245748304,19
21.79987425804138,0.3985537428585672,0.3243561744689941,0.10760975846338863,0.03,1,400,8,"{'learning_rate': 0.03, 'l2_leaf_reg': 1, 'iterations': 400, 'depth': 8}",0.9266623195140585,0.9269689522551202,0.9194963416921899,0.9247062434725732,0.924561441102776,0.9244790596073436,0.0026777627325484,4
15.05811014175415,0.38236217145348916,0.39384994506835935,0.13462468184600443,0.01,5,400,6,"{'learning_rate': 0.01, 'l2_leaf_reg': 5, 'iterations': 400, 'depth': 6}",0.9254208331883769,0.9256962159204701,0.9177098296998872,0.9236850057066356,0.923382135654151,0.9231788040339042,0.0028834466002870033,17
11.68787202835083,0.46885010971899516,0.3139543056488037,0.07042581847649869,0.01,7,400,4,"{'learning_rate': 0.01, 'l2_leaf_reg': 7, 'iterations': 400, 'depth': 4}",0.924104984596456,0.9245886582046533,0.9162627948458276,0.9224630503638012,0.9223166057737784,0.9219472187569032,0.002978199455717828,20
53.55717611312866,1.2304360736256548,0.3442319393157959,0.04951838707504979,0.01,3,1000,8,"{'learning_rate': 0.01, 'l2_leaf_reg': 3, 'iterations': 1000, 'depth': 8}",0.9268091626684458,0.926980623176837,0.9195932486077563,0.92472477026774,0.924868966769881,0.924595354298132,0.002672194930755084,2
24.922494840621948,0.8366955358887904,0.34283447265625,0.1275114378974683,0.03,1,700,6,"{'learning_rate': 0.03, 'l2_leaf_reg': 1, 'iterations': 700, 'depth': 6}",0.926504889621939,0.9266251702687034,0.9197108825700875,0.9245417663478399,0.9246725699860051,0.9244110557589149,0.0025085273075014405,6
24.52978119850159,0.6004223260445951,0.41440391540527344,0.16280007393863527,0.05,1,700,6,"{'learning_rate': 0.05, 'l2_leaf_reg': 1, 'iterations': 700, 'depth': 6}",0.9259978741703081,0.9258690794904884,0.9194191414149322,0.9236431689505965,0.9237101651582476,0.9237278858369145,0.00237950947731214,12
18.886256217956543,0.802687202030101,0.37441263198852537,0.13165946695750513,0.05,1,700,4,"{'learning_rate': 0.05, 'l2_leaf_reg': 1, 'iterations': 700, 'depth': 4}",0.9263525936598642,0.9268083973621037,0.9197073749160196,0.9244656183498052,0.9247634501344133,0.9244194868844412,0.002520644088634578,5
14.337667655944824,0.6531201688347156,0.28923845291137695,0.025398286323908306,0.1,1,400,6,"{'learning_rate': 0.1, 'l2_leaf_reg': 1, 'iterations': 400, 'depth': 6}",0.9256011584952305,0.9251499466310433,0.9188177062933468,0.9232559238550632,0.9227272246057269,0.9231103919760821,0.0024066095726457157,18
25.156621742248536,0.5404978209437277,0.3077115058898926,0.02574328527343798,0.05,7,700,6,"{'learning_rate': 0.05, 'l2_leaf_reg': 7, 'iterations': 700, 'depth': 6}",0.9265934738310351,0.9263200043647972,0.9195306210387625,0.9242413835415222,0.9242160008755106,0.9241802967303256,0.002530860047557084,8
34.980569744110106,0.9223154983600989,0.43534088134765625,0.16663539198251964,0.05,7,1000,6,"{'learning_rate': 0.05, 'l2_leaf_reg': 7, 'iterations': 1000, 'depth': 6}",0.9261129889992634,0.9258436011668498,0.9193097663835426,0.9236126204656226,0.923324865216768,0.9236407684464094,0.002442233096331055,14
54.2862389087677,0.9824481495011635,0.3240635871887207,0.029289801291009138,0.03,3,1000,8,"{'learning_rate': 0.03, 'l2_leaf_reg': 3, 'iterations': 1000, 'depth': 8}",0.9258795386771635,0.9256241814610214,0.9190364563561257,0.9235189660811051,0.9233952415281844,0.92349087682072,0.002453914869912298,15
22.70888066291809,0.36993754434296755,0.3277118682861328,0.09948489362496582,0.01,3,400,8,"{'learning_rate': 0.01, 'l2_leaf_reg': 3, 'iterations': 400, 'depth': 8}",0.9259628932929223,0.9262151892836958,0.9185199064629832,0.9240844957063753,0.9239079650040639,0.9237380899500082,0.002773592053993965,11
26.5092312335968,0.6668873000461152,0.40199952125549315,0.10039875081413047,0.01,1,700,6,"{'learning_rate': 0.01, 'l2_leaf_reg': 1, 'iterations': 700, 'depth': 6}",0.9263678678989418,0.9264693985403248,0.9189619984265938,0.9246253123088329,0.9244465813502966,0.9241742317049979,0.002739520189460893,9
20.04692840576172,0.6347382861125668,0.318647575378418,0.02030222293523917,0.1,5,700,4,"{'learning_rate': 0.1, 'l2_leaf_reg': 5, 'iterations': 700, 'depth': 4}",0.9257745322694768,0.9259396790005455,0.9193119985270404,0.9235728883024941,0.9237365363451716,0.9236671268889456,0.0023910872911832577,13
25.775655698776244,0.4548671685639499,0.3010541915893555,0.030130046058693856,0.03,3,700,6,"{'learning_rate': 0.03, 'l2_leaf_reg': 3, 'iterations': 700, 'depth': 6}",0.9268502659965687,0.9268378935440382,0.9198026874433732,0.92460059928602,0.9246570406413472,0.9245496973822694,0.0025720293374254717,3
38.89018301963806,0.6626808655188186,0.3153115749359131,0.037640938024153935,0.03,7,700,8,"{'learning_rate': 0.03, 'l2_leaf_reg': 7, 'iterations': 700, 'depth': 8}",0.926570674079594,0.9267112353444235,0.9196592243919968,0.9242294894028008,0.9242904588216627,0.9242922164080956,0.0025499637159246673,7
