mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
14.336833333969116,2.7424133508279325,0.7444849491119385,0.18647619061982823,1.0,1.0,800,3,6,0.1,0.7,"{'subsample': 1.0, 'reg_lambda': 1.0, 'n_estimators': 800, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.9198797123379276,0.9193015233964832,0.9141436137529505,0.9175348909616791,0.9176244158798041,0.9176968312657688,0.0019998414913776435,22
6.012605142593384,1.586421717141797,0.19579010009765624,0.02461654897054302,0.9,2.0,800,5,3,0.03,0.9,"{'subsample': 0.9, 'reg_lambda': 2.0, 'n_estimators': 800, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",0.9263491178935607,0.9263324565367381,0.9195775598277436,0.9247987339534356,0.9244007905106073,0.924291731744417,0.002485548525338715,1
9.323599052429199,0.5159651996694276,0.47173585891723635,0.06142525577882458,1.0,1.0,800,5,6,0.01,0.9,"{'subsample': 1.0, 'reg_lambda': 1.0, 'n_estimators': 800, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.9}",0.925496455021304,0.926086139501762,0.9193563384632351,0.9244194129690882,0.9234528627310524,0.9237622417372883,0.002381074110224218,7
5.941135311126709,0.6166038547313512,0.2301846981048584,0.0043087775365802045,0.7,2.0,400,3,6,0.01,0.9,"{'subsample': 0.7, 'reg_lambda': 2.0, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.9}",0.9248858681113781,0.9259093218489762,0.9184634970080191,0.9238998017345927,0.923414533629864,0.9233146044665661,0.0025724351494505224,12
16.34238977432251,0.37355165425431197,0.7489948272705078,0.20598540874279325,0.7,0.0,800,1,9,0.05,0.9,"{'subsample': 0.7, 'reg_lambda': 0.0, 'n_estimators': 800, 'min_child_weight': 1, 'max_depth': 9, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.9167500079958568,0.9153481262159802,0.9102685807531004,0.9138513909956076,0.9139372966516819,0.9140310805224454,0.002159845560188134,24
10.794477891921996,0.9541498673640705,0.3437630653381348,0.017973386334218473,0.7,0.0,400,5,9,0.01,1.0,"{'subsample': 0.7, 'reg_lambda': 0.0, 'n_estimators': 400, 'min_child_weight': 5, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",0.9244100548370694,0.9251943981744126,0.9182288030631132,0.923091287291473,0.9228810831025934,0.9227611252937322,0.002420955479704968,16
4.31169319152832,0.593378770988325,0.16559019088745117,0.008477105109072394,0.9,2.0,200,5,9,0.03,0.7,"{'subsample': 0.9, 'reg_lambda': 2.0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 9, 'learning_rate': 0.03, 'colsample_bytree': 0.7}",0.9248699561170155,0.9250770671458419,0.91885836319277,0.922825614324293,0.9228236532263537,0.9228909308012548,0.0022345526330249787,15
5.007780742645264,0.5060043689765834,0.18636550903320312,0.005540311459521528,1.0,1.0,800,1,3,0.03,0.9,"{'subsample': 1.0, 'reg_lambda': 1.0, 'n_estimators': 800, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",0.9262781676180966,0.9263643124132274,0.9195421165777758,0.9245405546125278,0.9244685201370001,0.9242387342717254,0.0024851352331430074,2
2.716584396362305,0.38097948337323845,0.14616041183471679,0.039904089578376094,0.7,2.0,200,1,6,0.03,0.7,"{'subsample': 0.7, 'reg_lambda': 2.0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}",0.9257802401792782,0.9263255368918952,0.9196901236355585,0.9243476335957315,0.9242779588152852,0.9240842986235498,0.002337305719775142,4
5.445984745025635,0.6025395019424457,0.21784639358520508,0.06877278804488095,0.7,2.0,800,1,3,0.05,0.9,"{'subsample': 0.7, 'reg_lambda': 2.0, 'n_estimators': 800, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.9261905081541637,0.9259874149836331,0.9195818327881535,0.9242626207972554,0.9241522093888824,0.9240349172224176,0.002381360414618945,5
6.787776088714599,0.3430532397707743,0.21760215759277343,0.059046495628668545,1.0,0.0,200,3,9,0.01,1.0,"{'subsample': 1.0, 'reg_lambda': 0.0, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",0.9220966772598882,0.923322682076025,0.915732644821231,0.921187778667234,0.9199231893740762,0.920452594439691,0.00260917999887445,20
9.720192909240723,0.33764817291106414,0.47258796691894533,0.06773432448140723,0.9,1.0,800,3,6,0.01,0.7,"{'subsample': 0.9, 'reg_lambda': 1.0, 'n_estimators': 800, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",0.9261034545577517,0.9264764457362248,0.9197166383115352,0.9244364729267718,0.9241481755858039,0.9241762374236174,0.0024067263403975536,3
5.8761683940887455,0.6143870302770171,0.29828662872314454,0.04647260628299888,1.0,0.0,400,5,9,0.05,0.9,"{'subsample': 1.0, 'reg_lambda': 0.0, 'n_estimators': 400, 'min_child_weight': 5, 'max_depth': 9, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.9218539794861548,0.9217755674738555,0.9150386076322534,0.9192065595441631,0.9195420188989893,0.9194833466070833,0.002478303242938997,21
2.7581575870513917,0.2633132724586938,0.13084306716918945,0.039930879038785096,0.9,1.0,400,3,3,0.1,0.7,"{'subsample': 0.9, 'reg_lambda': 1.0, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.9263181548744703,0.9258726030884383,0.919477607630691,0.9244138644968697,0.9240117437559917,0.9240187947692922,0.0024290810036577248,6
7.556349658966065,0.492997578315865,0.29904756546020506,0.009935959858090856,0.7,2.0,400,3,9,0.03,1.0,"{'subsample': 0.7, 'reg_lambda': 2.0, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 9, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.923549117089989,0.9237686165152279,0.9176716122144295,0.9219253906507094,0.921864851716761,0.9217559176374234,0.002190372551579654,19
1.6358491897583007,0.18053804082539826,0.07599682807922363,0.023467825379196155,0.7,1.0,200,5,3,0.05,0.9,"{'subsample': 0.7, 'reg_lambda': 1.0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.9256829506105407,0.925604889363648,0.9186989881470311,0.9242111858220337,0.9236872697384029,0.9235770567363314,0.0025595591002717513,9
16.44065918922424,0.37946010336079455,0.624353551864624,0.027445557276670102,0.7,0.0,800,1,9,0.1,1.0,"{'subsample': 0.7, 'reg_lambda': 0.0, 'n_estimators': 800, 'min_child_weight': 1, 'max_depth': 9, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.9119043433398945,0.9097529874928854,0.9051045167710666,0.9085129156953651,0.9089040032673487,0.908835753313312,0.002204022305213528,25
1.8156661987304688,0.3086791422199985,0.05843620300292969,0.007786695767772957,0.7,1.0,200,1,3,0.05,1.0,"{'subsample': 0.7, 'reg_lambda': 1.0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.9257397746064403,0.9260659545469894,0.9186667496173708,0.9240134178639887,0.9235538513029852,0.9236079495875549,0.0026521408177050056,8
1.8150565147399902,0.28940547728094107,0.06025094985961914,0.012948825597809768,0.7,0.0,200,1,3,0.03,0.9,"{'subsample': 0.7, 'reg_lambda': 0.0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",0.9244796977141989,0.9248090983189377,0.9170120616424924,0.9230044568900289,0.9222983500246684,0.9223207329180653,0.002810802786929396,17
5.742648553848267,0.48947094333368485,0.30849599838256836,0.049372804698920324,0.9,0.0,400,5,9,0.1,0.7,"{'subsample': 0.9, 'reg_lambda': 0.0, 'n_estimators': 400, 'min_child_weight': 5, 'max_depth': 9, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.9172082989437081,0.9166793128225068,0.9112397066695586,0.9149191689638616,0.9147376318814449,0.9149568238562159,0.002092965909930583,23
2.8859848976135254,0.3807237286270843,0.12069888114929199,0.00521380073004172,1.0,0.0,200,5,6,0.03,1.0,"{'subsample': 1.0, 'reg_lambda': 0.0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.9251876539122731,0.9257745960450051,0.9191768581821341,0.9242473146669972,0.9233050150790894,0.9235382875770999,0.00233669367744405,10
16.142475175857545,0.4774098370001288,0.6894989013671875,0.15814375182569287,1.0,1.0,800,3,9,0.01,0.9,"{'subsample': 1.0, 'reg_lambda': 1.0, 'n_estimators': 800, 'min_child_weight': 3, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.9}",0.9239971401777507,0.9242880203632713,0.9175306523525468,0.9218788823361643,0.9216315926691799,0.9218652575797825,0.0024190200626282607,18
4.1485659122467045,0.2762408573830072,0.19593615531921388,0.06019605958011852,0.7,0.0,200,5,9,0.03,0.7,"{'subsample': 0.7, 'reg_lambda': 0.0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 9, 'learning_rate': 0.03, 'colsample_bytree': 0.7}",0.9251376220101593,0.9250192386853683,0.9189546004652871,0.9229751201403674,0.9230960704571788,0.9230365303516722,0.00223674702769231,14
6.216812801361084,0.5135274304462328,0.18406295776367188,0.005573472838052655,0.7,1.0,800,1,3,0.01,0.7,"{'subsample': 0.7, 'reg_lambda': 1.0, 'n_estimators': 800, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",0.925100855417975,0.9255116495409708,0.9183594312893776,0.9238837781294786,0.9233042657164622,0.9232319960188529,0.0025636452760256327,13
2.66218638420105,0.39313848266395596,0.12299108505249023,0.04645305646815818,1.0,1.0,200,3,6,0.03,1.0,"{'subsample': 1.0, 'reg_lambda': 1.0, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.9251786137311072,0.9259145195545496,0.9191782931315254,0.924167292304741,0.9231276234069506,0.9235132684257747,0.002362535167399179,11
